,state,est,lat,lon,counter
3690,NY,distillery,44.335857,-75.918072,169
3761,NY,winery,43.163315000000004,-76.34763769999998,169
3819,OH,brewery,41.771546,-81.048817,140
3842,OH,distillery,41.77274,-81.178607,140
3901,OH,winery,41.860423499999996,-80.95386450000001,140
3948,OK,brewery,36.2938013,-95.8367241,91
3952,OK,distillery,36.157339799999995,-95.98665290000001,91
3992,OK,winery,36.7819849,-96.6611377,91
4040,OR,brewery,45.888183399999996,-123.9619559,96
4052,OR,distillery,44.530669,-123.26883000000001,96
4088,OR,winery,40.4276296,-80.05550339999998,96
4159,PA,brewery,42.147592200000005,-80.0013819,161
4188,PA,distillery,41.1804326,-79.10577219999998,161
4249,PA,winery,43.0425609,-79.29741440000001,161
4295,RI,brewery,42.727772200000004,-76.76473949999998,90
4296,RI,distillery,41.4545127,-71.50529920000001,90
4339,RI,winery,41.977096,-71.403959,90
4404,SC,brewery,36.0710378,-80.242811,133
4426,SC,distillery,35.9094823,-79.06361720000002,133
4472,SC,winery,35.053819,-82.66882290000002,133
4513,SD,brewery,44.902844,-97.113937,103
4531,SD,distillery,44.909766,-97.135413,103
4575,SD,winery,45.831229,-96.72705,103
4625,TN,brewery,39.2080282,-86.247654,129
4653,TN,distillery,36.596727,-87.27779,129
4704,TN,winery,36.5913872,-86.59654359999998,129
4778,TX,brewery,35.8348513,-80.2441121,167
4808,TX,distillery,33.730917,-96.583838,167
4871,TX,winery,33.775576,-97.5101499,167
4906,UT,brewery,41.243461100000005,-111.9845551,70
4923,UT,distillery,41.3053406,-111.83263290000002,70
4941,UT,winery,41.32984920000001,-111.8251563,70
5004,VA,brewery,39.183927000000004,-77.72646,140
5027,VA,distillery,38.9677061,-77.73823320000001,140
5081,VA,winery,39.179547,-77.677539,140
5133,VT,brewery,44.934727,-72.27195999999998,115
5155,VT,distillery,44.786598,-72.8724948,115
5196,VT,winery,45.3745754,-75.7417454,115
5271,WA,brewery,48.749101,-122.4755023,173
5308,WA,distillery,48.60318350000001,-123.1622211,173
5369,WA,winery,48.8414407,-122.25665459999999,173
5447,WI,brewery,46.72237699999999,-92.1041447,152
5469,WI,distillery,45.870307700000005,-89.71105229999998,152
5521,WI,winery,46.810328999999996,-90.815893,152
5575,WV,brewery,41.4771844,-81.6953077,109
5588,WV,distillery,39.44143100000001,-80.14436099999998,109
5630,WV,winery,40.4048234,-80.5503556,109
5682,WY,brewery,44.80297969999999,-106.95357859999999,89
5688,WY,distillery,44.804545000000005,-106.95200600000001,89
5719,WY,winery,45.633396999999995,-121.5116382,89
